Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-05-08,35.955,37.355,35.91,36.947,0.751,+2.07%,17318,92987
2025-05-07,36.67,37.09,35.8,36.196,-0.184,-0.51%,16294,94850
2025-05-06,35.1,36.725,35.1,36.38,1.739,+5.02%,10929,94951
2025-05-05,34.55,34.88,34.47,34.641,-0.093,-0.27%,2245,94768
2025-05-02,33.915,35.2,33.915,34.734,0.741,+2.18%,11234,94681
2025-05-01,33.75,34.12,33.38,33.993,-0.03,-0.09%,10447,95381
2025-04-30,33.26,34.5,33.15,34.023,0.685,+2.05%,21000,96447
2025-04-29,33.31,33.6,32.615,33.338,-0.387,-1.15%,21248,98501
2025-04-28,33.65,34.05,32.92,33.725,0.082,+0.24%,12234,97411
2025-04-25,35,35,33.22,33.643,-1.244,-3.57%,13105,97890
2025-04-24,34.92,35.31,34.31,34.887,-0.434,-1.23%,16555,97794
2025-04-23,35.89,36.025,35.02,35.321,-0.062,-0.18%,13188,97518
2025-04-22,36.27,36.81,35.145,35.383,-1.474,-4.00%,9345,96507
2025-04-17,36.925,36.97,36.445,36.857,0.399,+1.09%,8155,94928
2025-04-16,35.75,36.7,35.665,36.458,0.611,+1.70%,11070,95923
2025-04-15,35.67,36.795,35.475,35.847,0.112,+0.31%,15772,95959
2025-04-14,35.385,36.04,35.08,35.735,0.888,+2.55%,9456,94956
2025-04-11,34.225,35.375,34.2,34.847,0.167,+0.48%,15973,94424
2025-04-10,36.93,37.19,34.465,34.68,-0.368,-1.05%,21318,94904
2025-04-09,35.595,36.335,34.745,35.048,-1.824,-4.95%,44653,96037
2025-04-08,37.515,37.645,36.25,36.872,-0.925,-2.45%,22544,97790
2025-04-07,35.225,39.41,34.585,37.797,0.611,+1.64%,19799,100005
2025-04-04,39.8,39.89,35.765,37.186,-2.511,-6.33%,26332,99352
2025-04-03,41.285,41.285,39.125,39.697,-2.186,-5.22%,18724,99436
2025-04-02,42.83,43.355,41.505,41.883,-0.744,-1.75%,16040,99749
2025-04-01,41.01,42.975,40.97,42.627,1.553,+3.78%,16752,102034
2025-03-31,40.745,41.23,40.215,41.074,0.663,+1.64%,9542,102901
2025-03-28,40.685,41.05,40.135,40.411,-0.342,-0.84%,9562,103871
2025-03-27,39.95,41.195,39.925,40.753,0.221,+0.55%,5738,104542
2025-03-26,40.205,40.84,40.205,40.532,-0.551,-1.34%,5279,104680
2025-03-25,41.345,41.995,40.89,41.083,-1.205,-2.85%,9720,104125
2025-03-24,41.55,42.36,41.2,42.288,0.336,+0.80%,9200,103060
2025-03-21,43.72,43.725,41.59,41.952,0.276,+0.66%,12355,103236
2025-03-20,42.125,42.335,41.5,41.676,0.253,+0.61%,9477,103550
2025-03-19,40.25,42.165,40.045,41.423,2.447,+6.28%,10145,104163
2025-03-18,39.2,39.31,38.58,38.976,-0.3,-0.76%,7562,103444
2025-03-17,40,40,38.53,39.276,-0.536,-1.35%,5099,104397
2025-03-14,39.33,40.39,39.25,39.812,-0.264,-0.66%,7174,104257
2025-03-13,40.61,41.48,38.55,40.076,-0.462,-1.14%,13532,103352
2025-03-12,41.08,41.52,39.68,40.538,-0.785,-1.90%,11335,101734
2025-03-11,41.06,42.1,39.67,41.323,1.286,+3.21%,10430,103126
2025-03-10,38.4,40.045,38.4,40.037,1.188,+3.06%,7750,102651
2025-03-07,36.48,39.91,35.9,38.849,1.542,+4.13%,16613,101674
2025-03-06,40.15,40.25,36.7,37.307,-2.718,-6.79%,21604,101731
2025-03-05,41.6,42.205,39.49,40.025,-2.238,-5.30%,20604,102148
2025-03-04,44.52,44.52,41.74,42.263,-1.998,-4.51%,16544,98980
2025-03-03,45.855,45.855,43.82,44.261,0.648,+1.49%,7042,97296
2025-02-28,45.05,45.08,43.32,43.613,-0.443,-1.01%,8685,97316
2025-02-27,41.98,44.385,41.97,44.056,2.611,+6.30%,19293,96953
2025-02-26,42.2,42.915,41.025,41.445,-1.834,-4.24%,24824,95077
2025-02-25,44.805,45.135,42.685,43.279,-2.237,-4.91%,13073,95332
2025-02-24,44.375,45.516,43.75,45.516,-0.178,-0.39%,10541,94882
2025-02-21,45.645,46.28,44.535,45.694,0.287,+0.63%,10414,95569
2025-02-20,44.71,46.3,44.62,45.407,-0.534,-1.16%,9389,97438
2025-02-19,47.37,47.6,44.7,45.941,-0.625,-1.34%,8738,98793
2025-02-18,45.2,46.566,44.355,46.566,1.005,+2.21%,14404,97912
2025-02-17,47.215,48.2,45.27,45.561,-2.637,-5.47%,7818,96960
2025-02-14,47.8,48.65,46.23,48.198,-0.947,-1.93%,19133,96488
2025-02-13,51.625,51.625,48.32,49.145,-3.323,-6.33%,31649,94661
2025-02-12,51.525,52.51,50.425,52.468,0.442,+0.85%,20484,95276
2025-02-11,50.745,52.605,50.59,52.026,0.482,+0.94%,10043,96983
2025-02-10,51.095,52.185,51.065,51.544,1.615,+3.23%,11934,96501
2025-02-07,48.93,49.929,48.885,49.929,1.04,+2.13%,8843,96803
2025-02-06,48.63,49.95,48.4,48.889,0.786,+1.63%,13332,96132
2025-02-05,46.17,48.42,46.17,48.103,1.617,+3.48%,16856,94840
2025-02-04,46.4,46.985,45.925,46.486,-0.369,-0.79%,12370,94660
2025-02-03,46.92,47.415,46.525,46.855,0.432,+0.93%,8603,94305
2025-01-31,44.885,46.865,44.75,46.423,1.972,+4.44%,15845,94063
2025-01-30,45,45.245,44.451,44.451,-0.78,-1.72%,14449,92536
2025-01-29,44.35,45.231,44.35,45.231,1.544,+3.53%,12394,92500
2025-01-28,43.95,44.115,43.55,43.687,0.143,+0.33%,7558,93978
2025-01-27,43.845,44.1,43.544,43.544,-1.221,-2.73%,5175,94584
2025-01-24,44.815,44.965,43.85,44.765,0.126,+0.28%,7343,94157
2025-01-23,44,44.785,44,44.639,0.245,+0.55%,15468,94722
2025-01-22,45.945,46.005,44.22,44.394,-1.422,-3.10%,15750,93286
2025-01-21,45.335,45.87,44.975,45.816,0.384,+0.85%,16087,93249
